CVDs,RSP,NO2,SO2,O3
105.0,39.0,31.97,8.6,16.49
105.0,24.63,19.0,4.06,12.24
192.0,23.67,27.9,6.49,24.09
156.0,49.82,61.12,19.77,52.86
177.0,34.28,34.0,15.52,20.36
161.0,34.14,34.48,25.08,25.68
181.0,35.56,34.44,24.5,23.24
100.0,47.83,56.76,38.05,18.11
101.0,39.78,46.55,33.98,34.55
227.0,39.78,48.89,43.86,48.06
163.0,36.54,44.07,39.07,32.91
180.0,31.17,42.02,23.13,10.99
135.0,30.53,35.06,15.18,19.81
154.0,31.32,39.24,23.45,5.43
120.0,33.74,41.34,38.15,8.18
103.0,34.1,37.65,24.26,6.68
170.0,31.02,37.21,21.36,17.86
177.0,82.25,93.42,52.3,168.93
163.0,31.45,23.96,7.58,19.17
157.0,26.16,24.21,10.94,22.06
147.0,35.88,38.11,27.51,32.06
92.0,40.08,49.51,43.2,16.49
88.0,31.07,48.11,35.36,17.93
132.0,33.61,50.14,41.09,17.24
201.0,28.5,40.43,31.91,34.68
191.0,35.88,43.41,41.03,29.79
164.0,34.56,41.87,26.51,28.68
166.0,32.3,31.84,26.99,17.36
127.0,33.09,35.49,32.15,19.18
127.0,45.31,60.71,44.73,62.11
204.0,93.46,102.53,55.87,60.43
160.0,67.35,76.26,27.76,50.74
176.0,42.49,59.07,17.44,37.84
170.0,40.23,54.1,10.82,63.34
162.0,59.17,71.3,18.78,38.8
112.0,46.07,55.72,12.01,51.55
93.0,47.47,46.25,10.56,91.74
199.0,31.71,20.47,6.42,23.36
178.0,32.97,37.13,11.05,41.74
181.0,39.99,39.06,9.44,54.43
190.0,38.68,32.12,8.28,49.19
164.0,22.17,24.97,5.97,16.24
109.0,24.24,26.34,5.73,7.55
102.0,32.19,38.75,6.5,29.05
188.0,43.26,41.74,11.66,39.11
154.0,47.9,40.0,9.66,43.18
156.0,43.26,34.27,8.67,35.47
150.0,22.16,26.94,6.78,12.64
156.0,26.86,33.06,9.26,11.24
96.0,29.56,38.33,12.49,2.43
104.0,39.33,45.24,9.03,52.49
179.0,46.74,50.71,13.52,25.18
138.0,29.67,48.78,11.39,43.54
170.0,36.55,51.89,13.48,26.74
167.0,33.95,50.45,11.97,52.66
128.0,42.73,56.54,13.96,66.52
97.0,58.3,54.03,13.24,85.36
114.0,63.75,53.96,12.11,90.99
198.0,68.06,66.33,16.66,83.36
189.0,56.0,66.75,15.39,52.74
168.0,71.51,87.7,33.99,31.92
176.0,108.26,91.23,53.57,95.18
173.0,93.69,81.08,36.39,66.68
117.0,57.65,55.16,10.49,71.18
122.0,31.39,36.92,5.96,45.3
192.0,37.35,41.31,7.93,32.49
151.0,60.19,63.55,18.53,60.49
173.0,54.52,59.89,14.67,18.36
184.0,44.79,52.68,12.15,45.68
166.0,49.99,58.66,13.74,61.11
140.0,55.05,55.79,13.45,75.11
126.0,49.0,38.47,8.38,49.74
168.0,56.18,41.29,9.58,30.68
154.0,78.32,53.09,13.21,63.93
180.0,70.59,52.93,11.27,92.68
173.0,66.51,65.44,14.63,64.8
169.0,89.15,82.64,22.12,77.05
106.0,99.6,62.19,13.92,72.11
95.0,78.37,51.67,9.48,53.61
133.0,28.59,47.58,7.97,50.05
181.0,41.06,56.65,10.56,58.36
195.0,40.12,53.51,10.48,68.24
125.0,53.5,74.62,22.34,63.49
169.0,65.81,65.12,15.23,62.8
115.0,92.47,55.06,9.84,63.3
109.0,65.26,50.58,9.99,81.74
185.0,72.91,82.02,22.13,52.95
165.0,55.64,67.79,14.01,61.11
187.0,47.49,55.46,12.35,42.18
169.0,39.9,46.81,13.47,29.55
152.0,38.01,44.45,14.96,33.93
123.0,62.93,49.49,13.12,48.05
114.0,44.96,35.67,5.86,54.8
192.0,39.47,42.8,8.49,50.05
184.0,43.71,47.73,9.34,64.79
153.0,37.86,38.53,8.25,45.36
164.0,44.95,51.75,11.68,40.68
173.0,65.85,74.39,19.6,61.68
108.0,59.85,47.68,10.43,54.86
110.0,55.98,46.0,11.95,53.93
189.0,49.41,51.69,14.45,36.93
162.0,49.12,53.7,13.53,18.93
168.0,48.84,42.58,9.92,13.29
160.0,63.48,59.22,13.92,43.93
157.0,56.67,55.36,11.99,37.3
123.0,59.9,51.49,12.4,23.36
119.0,88.46,44.88,9.37,57.8
193.0,60.12,48.9,11.3,30.55
151.0,73.18,69.43,19.63,39.93
174.0,87.16,83.75,25.62,37.67
163.0,68.4,66.88,16.78,57.61
174.0,82.55,67.12,14.55,59.8
154.0,119.21,88.29,23.04,62.74
120.0,98.88,68.45,15.16,82.8
218.0,58.26,60.34,12.63,43.8
180.0,63.51,71.75,18.99,43.81
219.0,79.59,67.25,14.94,54.61
171.0,76.36,52.46,9.9,58.55
185.0,94.78,70.08,16.37,49.74
117.0,64.72,52.56,10.8,45.24
122.0,64.95,48.06,9.55,56.86
215.0,84.8,50.97,15.84,26.93
168.0,46.79,48.42,8.07,33.61
198.0,45.55,64.18,14.68,17.24
179.0,75.9,53.9,17.81,38.11
163.0,75.74,53.18,13.23,42.18
120.0,53.9,62.61,11.33,53.43
127.0,73.59,65.26,18.47,39.36
219.0,56.33,58.13,10.06,7.28
194.0,68.7,76.7,21.51,28.11
191.0,97.64,95.81,28.81,31.36
193.0,117.02,105.16,28.24,43.18
172.0,111.3,104.68,31.29,37.05
142.0,104.31,85.88,20.49,63.74
124.0,76.23,64.03,12.5,76.93
199.0,88.63,95.37,27.09,22.29
209.0,109.45,104.83,32.51,23.86
173.0,104.16,66.04,16.57,54.02
204.0,118.05,81.95,31.71,38.61
181.0,101.78,73.91,16.51,40.49
150.0,105.43,92.42,22.39,41.55
169.0,89.1,94.15,27.35,59.24
219.0,79.45,84.22,18.49,56.49
137.0,113.03,103.8,29.36,34.16
117.0,109.66,108.56,39.6,48.93
146.0,75.4,76.41,20.46,40.61
210.0,45.34,61.09,14.35,48.68
145.0,50.51,66.4,13.7,61.36
128.0,73.57,87.43,24.53,21.61
203.0,118.97,117.14,38.7,19.93
156.0,78.96,85.84,26.76,35.68
134.0,103.46,111.37,52.68,13.8
188.0,142.78,73.27,18.79,66.8
160.0,96.83,61.8,9.4,32.11
109.0,43.0,72.19,16.42,5.61
103.0,78.54,49.21,10.36,45.61
206.0,74.93,62.93,14.39,51.61
176.0,86.38,68.38,19.51,41.17
153.0,78.07,60.78,16.47,40.49
201.0,79.31,61.8,16.39,36.24
195.0,83.82,74.24,21.37,40.74
128.0,70.86,88.41,27.38,32.49
112.0,71.23,69.57,14.24,70.11
211.0,82.29,66.69,13.42,66.42
199.0,60.32,72.65,13.72,28.11
185.0,58.46,61.02,11.2,47.36
210.0,70.15,75.03,15.89,36.36
173.0,48.84,65.27,11.71,46.61
135.0,69.62,86.44,21.31,23.11
138.0,76.14,66.01,18.25,27.92
200.0,88.06,79.22,18.5,20.34
205.0,71.5,71.76,14.42,20.86
202.0,62.37,46.16,5.19,36.86
168.0,27.93,48.94,7.44,12.05
184.0,32.21,49.42,10.59,26.24
120.0,54.24,53.41,11.76,11.92
133.0,76.72,74.44,19.84,36.86
227.0,101.72,95.32,33.26,42.67
196.0,79.14,88.22,26.57,23.99
176.0,68.25,82.32,16.7,38.46
176.0,77.21,82.36,17.46,41.8
166.0,73.28,73.08,15.26,29.55
127.0,70.15,53.98,7.84,43.74
129.0,33.48,52.6,5.65,20.92
186.0,14.33,45.24,6.21,17.3
151.0,26.47,49.37,9.81,22.24
132.0,35.83,48.17,9.8,13.49
101.0,20.62,35.99,4.21,23.86
85.0,18.94,36.35,5.86,9.17
112.0,35.97,44.7,12.36,15.11
108.0,41.77,48.04,9.29,10.92
203.0,36.05,37.12,5.85,9.67
190.0,45.82,40.44,6.56,27.24
187.0,56.62,43.46,5.99,23.42
190.0,53.33,46.26,6.51,28.67
181.0,42.07,47.7,5.45,53.05
144.0,36.93,51.01,9.59,2.61
126.0,25.66,42.36,5.53,9.36
234.0,52.96,46.04,8.79,7.51
196.0,57.14,49.39,11.38,18.24
211.0,67.24,56.64,13.18,55.49
183.0,62.57,80.95,18.42,50.98
173.0,71.07,85.05,20.48,62.11
150.0,69.2,54.4,11.4,89.3
128.0,56.02,46.38,7.97,81.67
226.0,45.17,58.5,9.86,59.92
189.0,48.26,65.74,10.1,46.61
221.0,44.48,60.8,9.67,41.55
207.0,49.95,55.66,11.77,78.76
171.0,61.49,79.11,35.59,30.36
149.0,89.34,92.18,55.0,20.24
138.0,32.22,44.47,6.91,40.05
194.0,33.36,58.48,9.47,24.86
179.0,72.98,75.48,14.11,37.24
156.0,73.51,71.75,13.74,40.67
195.0,66.49,84.8,19.42,23.55
184.0,62.54,73.88,21.6,16.42
130.0,47.75,56.74,8.45,33.61
127.0,55.13,46.97,4.09,60.67
210.0,49.27,53.98,7.98,29.55
159.0,48.13,55.78,7.2,24.05
198.0,44.88,52.11,8.09,15.3
171.0,44.0,48.12,18.69,21.3
175.0,41.21,43.78,24.28,2.8
144.0,44.28,46.1,43.42,10.49
100.0,46.34,45.44,7.97,26.74
189.0,39.38,41.48,9.09,8.24
141.0,36.05,48.72,4.6,33.3
167.0,40.08,74.28,25.21,34.17
168.0,39.84,55.74,13.24,6.42
180.0,54.83,67.15,19.37,8.42
108.0,76.73,57.8,42.93,0.36
124.0,25.84,37.96,7.13,6.05
172.0,47.91,50.37,7.0,62.8
169.0,41.97,53.92,5.44,52.74
162.0,44.27,73.48,15.43,38.67
142.0,47.05,54.32,6.31,54.49
113.0,44.63,62.38,8.19,31.3
97.0,44.4,69.96,11.6,6.36
112.0,33.29,54.7,7.62,59.86
141.0,81.52,47.98,5.9,97.17
212.0,56.4,54.43,5.92,42.3
203.0,61.65,60.18,11.62,23.17
192.0,36.95,49.3,13.76,6.8
157.0,47.87,93.06,33.22,11.8
118.0,120.35,112.42,64.26,11.74
115.0,55.28,59.95,14.46,27.05
172.0,58.94,59.56,6.49,25.42
181.0,90.76,79.85,26.57,11.67
184.0,70.64,69.65,29.13,0.99
187.0,38.12,56.18,4.28,29.55
160.0,45.96,68.97,14.37,45.24
137.0,48.43,56.1,6.58,74.92
128.0,66.48,61.7,6.28,55.55
193.0,42.18,68.93,20.27,5.17
177.0,53.02,74.64,50.1,21.8
184.0,40.32,52.38,5.37,61.61
177.0,70.39,56.71,4.78,72.71
173.0,72.96,67.75,15.85,11.92
116.0,69.63,57.28,4.45,40.99
122.0,56.53,46.62,2.18,51.86
189.0,53.47,62.97,11.35,17.8
175.0,51.1,56.89,10.96,29.61
172.0,52.09,46.2,5.22,85.24
170.0,47.39,53.9,7.82,68.86
169.0,50.2,62.21,8.72,45.99
140.0,69.64,81.1,10.37,101.61
128.0,68.54,87.74,10.44,85.49
187.0,65.82,89.76,21.07,25.05
195.0,37.98,50.98,34.74,24.49
184.0,35.59,53.56,29.64,18.8
187.0,41.17,62.29,29.86,22.46
177.0,33.21,47.9,20.81,38.8
114.0,33.07,43.29,16.54,12.61
123.0,22.06,46.33,5.94,17.05
168.0,25.16,42.89,8.98,18.17
178.0,26.17,52.22,10.63,17.49
168.0,27.31,57.79,23.92,10.74
183.0,30.37,40.22,14.47,3.11
148.0,35.04,60.52,18.98,7.61
122.0,48.44,60.36,4.85,43.86
124.0,37.58,35.11,5.08,20.86
210.0,30.55,37.09,11.94,17.86
190.0,27.89,34.31,10.29,22.17
174.0,30.91,39.31,25.39,28.65
198.0,28.23,36.5,24.36,22.3
166.0,27.77,30.94,10.85,20.61
140.0,31.14,54.74,20.26,15.86
109.0,29.72,39.08,12.55,22.3
182.0,38.81,57.89,17.33,12.67
171.0,55.87,70.28,15.45,40.05
147.0,82.55,57.94,5.9,83.67
178.0,38.27,52.9,4.92,60.67
173.0,26.45,54.18,7.6,15.3
136.0,30.19,61.62,6.72,34.05
108.0,61.82,64.65,9.57,115.74
182.0,46.93,85.45,21.91,33.51
148.0,51.06,89.17,25.53,50.17
199.0,53.72,75.15,20.68,51.49
204.0,75.81,90.04,34.92,26.36
174.0,99.7,113.21,46.65,52.55
114.0,82.46,80.63,37.68,64.61
120.0,30.32,39.99,17.9,24.11
192.0,30.3,43.6,30.78,22.67
180.0,34.99,45.27,19.1,13.92
170.0,36.33,53.37,19.79,16.86
169.0,44.97,42.38,18.6,24.55
162.0,41.94,35.92,11.91,27.3
141.0,43.8,30.06,17.47,10.11
94.0,37.04,22.92,9.37,22.11
141.0,34.97,26.16,11.51,24.92
179.0,39.97,51.98,24.68,23.99
152.0,77.75,95.01,72.11,16.17
165.0,76.96,90.6,44.6,49.67
156.0,30.84,63.88,8.25,12.17
138.0,28.67,62.9,22.45,12.17
100.0,17.72,42.33,3.38,44.99
177.0,20.42,46.72,4.74,11.17
185.0,37.29,56.54,4.52,61.3
204.0,43.95,55.42,5.98,55.42
187.0,48.93,50.99,5.61,50.51
159.0,41.39,59.23,28.32,31.49
141.0,29.03,51.21,21.87,19.55
127.0,27.55,52.46,19.69,7.86
189.0,31.49,54.18,22.79,24.92
187.0,30.2,53.69,31.2,13.8
177.0,32.58,48.99,30.15,24.55
173.0,42.67,55.21,37.72,3.61
134.0,40.49,54.11,39.22,16.49
120.0,31.69,47.86,18.18,14.24
108.0,23.66,36.62,9.31,21.17
115.0,28.97,37.48,25.62,5.86
128.0,31.49,45.03,17.1,1.74
125.0,21.63,36.63,12.03,6.05
175.0,23.9,46.63,22.06,32.42
170.0,32.51,42.44,16.29,7.05
134.0,36.81,39.91,25.4,6.8
122.0,33.15,43.46,22.76,6.36
202.0,37.27,35.83,23.49,7.86
193.0,35.7,39.76,19.73,5.99
207.0,32.01,42.39,28.5,11.8
193.0,28.78,44.37,33.29,9.61
163.0,31.15,43.5,35.56,9.99
121.0,23.55,30.02,14.87,14.55
132.0,19.09,22.6,1.93,20.11
191.0,18.92,26.4,4.03,18.17
169.0,18.29,26.71,2.73,20.55
180.0,16.45,30.25,3.18,32.42
189.0,18.09,36.58,9.79,10.24
189.0,24.65,40.38,14.99,6.92
116.0,28.92,40.63,8.58,1.55
129.0,19.55,28.76,3.77,13.17
193.0,23.54,29.58,5.1,15.55
184.0,33.37,38.38,9.43,28.42
171.0,34.69,51.88,39.17,18.24
182.0,48.75,73.18,44.61,16.67
182.0,59.95,79.72,34.8,11.92
121.0,66.29,73.66,31.79,51.61
126.0,33.51,44.11,23.38,31.55
198.0,32.23,45.48,30.39,20.13
172.0,38.13,41.51,12.95,16.11
179.0,33.98,33.69,6.89,21.61
166.0,30.2,29.1,4.19,20.99
155.0,20.15,24.75,3.35,16.55
105.0,14.21,15.29,2.25,25.59
133.0,25.23,28.46,13.53,33.67
211.0,31.79,31.61,32.5,15.3
182.0,37.83,45.48,36.69,14.17
163.0,34.27,39.85,23.09,18.49
158.0,40.37,46.55,21.78,10.92
148.0,34.79,48.85,32.33,6.3
138.0,46.27,46.79,18.96,7.42
122.0,35.97,42.51,13.15,15.49
173.0,38.56,38.66,19.16,1.3
164.0,36.93,45.41,21.23,2.74
176.0,27.83,45.73,20.81,5.92
185.0,35.92,49.18,13.58,13.05
163.0,43.21,58.26,24.48,19.05
111.0,89.66,101.92,43.69,26.86
103.0,61.85,82.57,24.98,48.05
144.0,73.84,70.37,24.89,86.3
164.0,143.04,125.79,79.26,123.74
191.0,81.44,67.56,19.09,77.99
188.0,22.77,33.93,4.88,28.17
162.0,26.75,35.41,3.11,23.86
148.0,33.69,38.42,6.58,25.86
123.0,23.57,41.01,5.21,19.05
164.0,23.0,38.48,5.75,24.17
181.0,19.68,34.18,5.19,28.86
178.0,28.25,37.32,5.29,29.05
186.0,53.71,74.67,22.59,81.17
152.0,102.57,103.54,61.33,123.74
114.0,84.8,73.71,49.27,45.8
95.0,20.75,30.08,10.14,21.8
160.0,23.37,33.86,21.27,17.51
154.0,25.75,44.37,19.53,13.67
167.0,38.73,61.46,48.03,7.61
160.0,91.18,91.12,83.57,32.11
172.0,88.91,90.41,51.66,73.17
106.0,70.86,72.86,23.95,64.3
119.0,18.36,46.11,7.89,5.67
166.0,28.29,53.36,35.05,8.55
189.0,27.88,50.97,34.1,12.74
181.0,37.29,62.16,32.21,19.4
163.0,51.73,92.38,41.23,27.36
144.0,47.79,77.26,41.8,27.61
128.0,50.68,79.42,36.66,25.92
106.0,55.22,63.85,13.53,64.49
152.0,72.75,85.52,28.24,28.07
145.0,66.69,65.61,13.21,39.36
105.0,54.0,50.02,5.37,66.61
192.0,58.99,69.23,13.43,37.74
152.0,58.13,59.62,8.24,45.86
126.0,71.26,59.07,5.86,63.8
109.0,18.32,46.88,3.53,24.92
171.0,39.57,57.43,8.84,32.67
179.0,54.43,53.43,7.37,59.86
160.0,52.47,52.61,5.77,89.67
175.0,49.41,65.45,13.4,55.42
154.0,42.72,55.49,8.82,31.99
119.0,52.22,54.19,7.54,48.17
126.0,28.12,43.8,4.17,19.86
169.0,23.33,65.4,6.1,1.9
159.0,24.01,65.54,5.85,5.05
103.0,32.17,55.76,4.56,48.74
130.0,31.52,56.35,4.95,56.99
179.0,35.54,52.14,4.81,34.74
125.0,41.32,56.71,14.73,17.92
135.0,42.52,61.73,14.87,51.17
193.0,39.96,56.38,6.91,51.05
155.0,54.23,66.3,8.5,40.49
183.0,57.14,58.49,5.58,34.24
166.0,82.48,73.17,8.13,76.74
107.0,75.72,69.22,15.09,44.61
139.0,88.16,81.75,18.08,49.42
129.0,56.08,58.5,5.17,59.36
206.0,60.44,70.84,7.64,56.61
162.0,68.27,84.2,13.08,50.92
168.0,56.32,73.97,14.89,30.49
168.0,55.22,71.0,12.24,55.05
163.0,47.62,59.82,5.63,41.92
132.0,42.1,64.19,6.9,40.49
122.0,61.58,67.46,10.51,70.05
170.0,106.29,101.49,40.69,91.11
180.0,154.16,114.34,82.81,68.92
160.0,124.84,103.09,53.7,84.55
163.0,100.49,83.51,27.85,55.3
152.0,62.89,63.25,7.94,57.99
126.0,69.61,59.41,6.19,70.8
110.0,65.66,52.35,6.29,65.24
186.0,54.15,53.47,7.61,45.99
183.0,59.16,57.24,8.88,19.99
156.0,54.84,67.08,8.42,59.11
145.0,69.69,73.9,12.29,64.55
141.0,79.53,71.24,15.63,67.11
136.0,89.99,76.67,17.28,77.3
116.0,63.58,68.34,8.86,70.05
191.0,66.49,78.13,12.19,66.49
183.0,71.69,71.51,11.44,58.71
157.0,89.11,78.84,14.92,71.67
147.0,92.22,88.63,15.21,78.36
160.0,64.22,82.66,9.07,74.92
134.0,53.85,70.92,7.09,67.34
123.0,51.08,58.21,4.52,68.8
214.0,50.93,67.02,6.39,58.82
191.0,46.74,68.93,6.88,41.92
189.0,53.68,86.73,13.08,30.67
188.0,59.79,105.87,42.62,31.3
158.0,57.37,97.19,33.61,50.67
136.0,36.42,59.31,10.55,24.55
134.0,35.88,45.21,7.25,15.92
196.0,52.19,52.08,6.33,37.76
177.0,59.67,72.43,10.45,42.92
178.0,61.44,69.61,8.04,48.05
162.0,64.13,78.6,9.78,32.42
162.0,76.41,100.27,26.03,29.42
132.0,112.69,124.9,67.05,21.3
105.0,64.43,59.56,7.11,21.8
220.0,47.94,55.37,5.98,28.42
212.0,30.53,42.35,25.23,23.17
196.0,32.79,44.42,32.2,13.92
154.0,24.58,38.31,6.13,28.3
161.0,43.82,50.28,6.17,25.92
132.0,56.83,62.41,20.61,8.8
126.0,40.99,51.83,5.71,25.67
189.0,60.44,62.13,13.8,27.67
161.0,32.96,43.37,4.35,14.42
179.0,52.19,53.79,7.91,32.42
202.0,49.32,62.54,10.38,32.42
164.0,45.57,64.55,6.34,24.8
130.0,43.03,70.34,7.36,33.05
137.0,37.12,53.34,5.03,28.42
189.0,50.6,45.17,6.15,50.17
183.0,57.5,57.67,11.05,41.3
180.0,66.11,58.42,11.06,48.92
166.0,71.1,67.53,12.76,28.17
195.0,92.49,72.46,16.81,12.55
160.0,84.27,89.07,21.42,6.92
162.0,71.94,82.27,9.89,42.05
220.0,51.88,78.49,9.1,41.8
242.0,68.98,86.42,17.53,18.3
242.0,139.75,151.5,90.06,32.42
182.0,90.02,85.87,17.99,62.17
211.0,81.73,77.78,15.31,12.8
145.0,75.88,81.16,15.17,12.05
153.0,65.13,44.01,1.05,43.92
210.0,25.32,42.66,3.14,3.17
211.0,27.93,50.63,6.27,22.05
170.0,37.87,56.77,10.39,11.3
146.0,47.25,53.08,6.9,61.36
161.0,72.9,72.39,13.49,23.42
168.0,44.72,63.2,9.27,39.99
208.0,40.78,57.72,5.42,56.8
321.0,60.17,87.21,18.3,18.05
298.0,91.77,112.44,51.66,8.11
322.0,42.1,56.77,4.96,49.67
